Name,Age,Home State,Status,Season,wins,top,bottom,safe,gender
Whitney Miller ,22,Michigan,1st,1,6,2,2,6,f
David Miller,29,Massachusetts,2nd,1,4,0,0,11,m
Lee Knaz,27,California,3rd,1,3,1,2,8,m
Sheetal Bhagat,37,Illinois,3rd,1,4,1,2,6,f
Sharone Hakman,28,California,4th,1,3,2,1,6,f
Mike Kim,34,California,4th,1,3,0,1,6,m
Jake Gandolfo,38,California,5th,1,2,2,0,4,m
Tracy Nailor,42,Georgia,5th,1,1,0,1,6,f
Kim Dung Huynh,22,Louisiana,5th,1,1,0,1,5,m
Anthony Carbone,31,Massachusetts,6th,1,1,0,0,4,m
Faruq Jenkins,30,California,6th,1,0,0,1,3,m
Jenna Hamiter,23,Texas,7th,1,0,0,0,2,f
Avis White,47,Louisiana,7th,1,0,0,0,1,f
Sheena Zadeh,26,California,7th,1,0,1,0,0,f
Jennifer Behm,34,Delaware,1st,2,7,1,6,8,f
Adrien Nieto,28,California,2nd,2,8,3,4,6,m
Christian Collins,31,Massachusetts,3rd,2,7,2,2,10,m
Suzy Singh,27,Illinois,4th,2,6,2,2,9,f
Ben Starr,33,Texas,5th,2,5,1,1,10,m
Tracy Kontos,32,Florida,6th,2,6,1,0,8,f
Derrick Prince,33,New York,7th,2,4,0,2,8,m
Christine Corley,27,Florida,7th,2,3,1,1,10,f
Alejandra Schrader,37,California,8th,2,2,3,2,4,m
Giuseppe Morisco,38,Illinois,9th,2,3,0,0,6,m
Erryn Cobb,26,Illinois,10th,2,3,0,1,5,f
Esther Kang,28,California,11th,2,1,0,1,4,f
Jennie Kelley,37,Louisiana,12th,2,1,1,1,3,f
Max Kramer,18,New York,13th,2,1,0,1,2,m
Alvin Schultz,28,Texas,14th,2,1,0,0,1,m
Tony Scruggs,52,Illinois,15th,2,0,0,0,0,m
Angel Moore-Soukkay,37,Ohio,16th,2,0,0,0,0,f
Mark Raffaeli,35,Illinois,16th,2,0,0,0,0,m
Christine Hà,32,Texas,1st ,3,8,3,3,10,f
Joshua Marks,24,Michigan,2nd,3,4,2,4,10,m
Rebecca Reams,27,Kansas,3rd,3,7,4,4,7,f
Franklin Mirando,28,New York,4th,3,6,3,1,11,m
Mairym Carlo,36,California,5th,3,5,1,0,13,f
David Martinez,32,Illinois,6th,3,4,1,3,10,m
Felix Fang,24,California,7th,3,4,0,1,12,m
Stacey Amagrande,29,California,8th,3,4,1,0,8,f
Tali Clavijo,29,Illinois,9th,3,1,0,3,7,f
Michael Hill,40,Georgia,10th,3,2,1,1,4,m
Tanya Noble,21,Texas,10th,3,2,0,2,4,f
Anna Rossi,28,Massachusetts,11th,3,1,0,0,5,f
Scott Little,38,Louisiana,12th,3,1,0,1,3,m
Ryan Umane,26,New York,13th,3,2,0,0,1,m
Helene Leeds,35,Maryland,14th,3,1,0,1,1,f
Michael Chen,19,Texas,15th,3,0,0,0,0,m
Dave Mack,27,Florida,16th,3,0,0,0,0,m
Samantha De Silva,27,"Miami, Florida",16th,3,0,0,0,0,f
Luca Manfè,31,New York,1st,4,10,2,2,16,m
Natasha Crnjac,27,California,2nd,4,13,2,2,14,f
Jessica Lysiak,27,Georgia,3rd,4,10,4,4,12,f
Krissi Biasiello,34,Pennsylvania,3rd,4,3,2,2,20,f
James Nelson,26,Texas,4th,4,5,1,1,17,m
Brianna Kozior,22,Pennsylvania,5th,4,5,0,0,13,f
Jordan Roots,29,Massachusetts,6th,4,2,2,2,17,f
Eddie Jackson,32,Georgia,7th,4,7,1,1,10,m
Bethy Rossos,28,Oregon,8th,4,5,0,0,9,f
Savannah Sturges,27,California,9th,4,3,1,1,8,f
Lynn Chyi,27,California,9th,4,4,0,0,7,f
Jonathan Blanchard,28,Massachusetts,10th,4,1,1,1,6,m
Elizabeth Kirby,29,Tennessee,10th,4,3,1,1,3,f
Albaya Cruz,35,Massachusetts,11th,4,2,2,2,4,f
Howard Simpson,26,California,11th,4,1,0,0,4,m
Kathleen Prieto,29,New York,12th,4,0,0,0,2,f
