"name","age","home_state","status","season","contestant_id","num_wins","num_tops","num_bottom","num_safe","contestant_id-2"
"Whitney Miller ",22,"MI",1,1,1,6,2,2,6,1
"David Miller",29,"MA",2,1,2,4,0,0,11,2
"Lee Knaz",27,"CA",3,1,3,3,1,2,8,3
"Sheetal Bhagat",37,"IL",4,1,4,4,1,2,6,4
"Sharone Hakman",28,"CA",4,1,5,3,2,1,6,5
"Mike Kim",34,"CA",4,1,6,3,0,1,6,6
"Jake Gandolfo",38,"CA",5,1,7,2,2,0,4,7
"Tracy Nailor",42,"GA",5,1,8,1,0,1,6,8
"Kim Dung Huynh",22,"LA",5,1,9,1,0,1,5,9
"Anthony Carbone",31,"MA",6,1,10,1,0,0,4,10
"Faruq Jenkins",30,"CA",6,1,11,0,0,1,3,11
"Jenna Hamiter",23,"TX",7,1,12,0,0,0,2,12
"Avis White",47,"LA",7,1,13,0,0,0,1,13
"Sheena Zadeh",26,"CA",7,1,14,0,1,0,0,14
"Jennifer Behm",34,"DL",1,2,15,7,1,6,8,15
"Adrien Nieto",28,"CA",2,2,16,8,3,4,6,16
"Christian Collins",31,"MA",3,2,17,7,2,2,10,17
"Suzy Singh",27,"IL",4,2,18,6,2,2,9,18
"Ben Starr",33,"TX",5,2,19,5,1,1,10,19
"Tracy Kontos",32,"FL",6,2,20,6,1,0,8,20
"Derrick Prince",33,"NY",7,2,21,4,0,2,8,21
"Christine Corley",27,"FL",7,2,22,3,1,1,10,22
"Alejandra Schrader",37,"CA",8,2,23,2,3,2,4,23
"Giuseppe Morisco",38,"IL",9,2,24,3,0,0,6,24
"Erryn Cobb",26,"IL",10,2,25,3,0,1,5,25
"Esther Kang",28,"CA",11,2,26,1,0,1,4,26
"Jennie Kelley",37,"LA",12,2,27,1,1,1,3,27
"Max Kramer",18,"NY",13,2,28,1,0,1,2,28
"Alvin Schultz",28,"TX",14,2,29,1,0,0,1,29
"Tony Scruggs",52,"IL",15,2,30,0,0,0,0,30
"Angel Moore-Soukkay",37,"OH",16,2,31,0,0,0,0,31
"Mark Raffaeli",35,"IL",16,2,32,0,0,0,0,32
"Christine Hà",32,"TX",1,3,33,8,3,3,10,33
"Joshua Marks",24,"MI",2,3,34,4,2,4,10,34
"Rebecca Reams",27,"KA",3,3,35,7,4,4,7,35
"Franklin Mirando",28,"NY",4,3,36,6,3,1,11,36
"Mairym Carlo",36,"CA",5,3,37,5,1,0,13,37
"David Martinez",32,"IL",6,3,38,4,1,3,10,38
"Felix Fang",24,"CA",7,3,39,4,0,1,12,39
"Stacey Amagrande",29,"CA",8,3,40,4,1,0,8,40
"Tali Clavijo",29,"IL",9,3,41,1,0,3,7,41
"Michael Hill",40,"GA",10,3,42,2,1,1,4,42
"Tanya Noble",21,"TX",10,3,43,2,0,2,4,43
"Anna Rossi",28,"MA",11,3,44,1,0,0,5,44
"Scott Little",38,"LA",12,3,45,1,0,1,3,45
"Ryan Umane",26,"NY",13,3,46,2,0,0,1,46
"Helene Leeds",35,"MD",14,3,47,1,0,1,1,47
"Michael Chen",19,"TX",15,3,48,0,0,0,0,48
"Dave Mack",27,"FL",16,3,49,0,0,0,0,49
"Samantha De Silva",27,"FL",16,3,50,0,0,0,0,50
"Luca Manfè",31,"NY",1,4,51,10,2,2,16,51
"Natasha Crnjac",27,"CA",2,4,52,13,2,2,14,52
"Jessica ""Jessie"" Lysiak",27,"GA",3,4,53,10,4,4,12,53
"Krissi Biasiello",34,"PA",3,4,54,3,2,2,20,54
"James Nelson",26,"TX",4,4,55,5,1,1,17,55
"Brianna ""Bri"" Kozior",22,"PA",5,4,56,5,0,0,13,56
"Jordan Roots",29,"MA",6,4,57,2,2,2,17,57
"Eddie Jackson",32,"GA",7,4,58,7,1,1,10,58
"Bethy Rossos",28,"OR",8,4,59,5,0,0,9,59
"Savannah Sturges",27,"CA",9,4,60,3,1,1,8,60
"Lynn Chyi",27,"CA",9,4,61,4,0,0,7,61
"Jonathan ""Jonny"" Blanchard",28,"MA",10,4,62,1,1,1,6,62
"Elizabeth ""Beth"" Kirby",29,"TN",10,4,63,3,1,1,3,63
"Albaya ""Bime"" Cruz",35,"MA",11,4,64,2,2,2,4,64
"Howard Simpson",26,"CA",11,4,65,1,0,0,4,65
"Kathleen ""Kathy"" Prieto",29,"NY",12,4,66,0,0,0,2,66
"Malcolm Green",27,"MA",13,4,67,1,0,0,1,67
"Adriana Guillen",26,"NY",13,4,68,0,0,0,0,68
"Sasha Foxx",42,"AL",14,4,69,0,0,0,0,69
"Courtney Lapresi",25,"PA",1,5,70,10,2,1,14,70
"Elizabeth Cauvel",31,"NY",2,5,71,12,2,0,11,71
"Leslie Gilliams",56,"CA",3,5,72,5,4,2,16,72
"Joshua Brewer",33,"TX",4,5,73,4,2,6,11,73
"Christian Green",29,"LA",5,5,74,2,1,3,13,74
"Jaimee Vitolo",23,"NY",5,5,75,5,0,2,12,75
"Willie Mike",25,"TX",6,5,76,3,2,2,13,76
"Daniel McGuffey",32,"CA",7,5,77,2,1,3,11,77
"Ahran Cho",18,"CA",8,5,78,4,0,0,9,78
"Victoria Scroggins",35,"TX",9,5,79,4,1,0,8,79
"Francis Legge",34,"NY",9,5,80,4,0,0,9,80
"Christine Silverstein",31,"NY",10,5,81,3,1,0,8,81
"Elise Mayfield",28,"AL",11,5,82,2,1,1,7,82
"Dan Wu",39,"KY",12,5,83,1,2,3,5,83
"Francis Biondi",25,"FL",13,5,84,2,0,2,3,84
"Tyler Viars",27,"OH",14,5,85,1,0,0,4,85
"Jordan Kaminski",19,"WI",15,5,86,0,0,1,2,86
"Kira Novak",31,"OH",16,5,87,1,0,0,1,87
"Gordon Houston",30,"CA",17,5,88,0,0,0,1,88
"Stephani Syfax-Shepherd",25,"MI",18,5,89,0,0,1,0,89
"Whitney Bray",28,"OH",19,5,90,0,0,0,0,90
"Astrid Lavenia",41,"LA",19,5,91,0,0,0,0,91
"Claudia Sandoval",31,"CA",1,6,92,5,1,1,17,92
"Derrick Peltz",28,"FL",2,6,93,6,2,4,11,93
"Stephen Lee",47,"CA",3,6,94,9,2,0,11,94
"Nick Nappi",31,"CA",4,6,95,8,1,1,11,95
"Katrina Kozar",34,"WI",5,6,96,5,3,3,10,96
"Hetal Vasavada",27,"NJ",6,6,97,4,3,2,10,97
"Tommy Walton",53,"IL",7,6,98,6,1,2,8,98
"Olivia Crouppen",25,"CA",8,6,99,3,1,2,10,99
"Shelly Flash",32,"NY",9,6,100,3,0,3,8,100
"Christopher Lu",30,"CA",10,6,101,3,0,1,9,101
"Sara Zacek",29,"WI",11,6,102,1,0,0,9,102
"Kerry Prince",37,"NC",12,6,103,3,0,1,4,103
"Amanda Saab",25,"WA",13,6,104,2,1,0,3,104
"Charlie Chapman",25,"LA",13,6,105,2,0,1,3,105
"Jesse Romero",29,"LA",14,6,106,3,0,0,2,106
"Veronica Cili",58,"FL",14,6,107,1,0,1,3,107
"Ailsa von Dobeneck",27,"VA",15,6,108,0,0,0,3,108
"Dan Collado",29,"IL",16,6,109,1,0,0,3,109
"Justin Banister",18,"TX",17,6,110,1,0,0,1,110
"Darah Carattini",29,"CA",18,6,111,0,0,0,0,111
"Brianna Watson",24,"MA",19,6,112,0,0,0,0,112
"Mateo McConnell",38,"GA",19,6,113,0,0,0,0,113
"Shaun O'Neale",33,"NV",1,7,114,7,0,1,15,114
"Brandi Mudd",27,"KY",2,7,115,9,2,1,10,115
"David Williams",35,"NV",2,7,116,6,2,2,12,116
"Tanorria Askew",34,"TN",3,7,117,4,4,3,10,117
"Daniel ""Dan"" Paustian",26,"NC",3,7,118,2,2,3,13,118
"Katie Dixon",33,"MI",4,7,119,4,0,4,10,119
"Nathan Barnhouse",20,"PA",4,7,120,3,0,2,14,120
"Eric Howard",26,"NY",5,7,121,2,1,4,8,121
"Terrance ""Terry"" Mueller",40,"NY",5,7,122,4,0,0,10,122
"Diamond Alexander",24,"CA",6,7,123,3,0,0,8,123
"Andrea Galan",21,"FL",7,7,124,3,1,2,4,124
"Alejandro Toro",26,"FL",8,7,125,2,1,1,4,125
"D'Andre Balaoing",25,"NV",9,7,126,1,0,2,5,126
"Diana Bilow",23,"IL",9,7,127,1,0,3,3,127
"Manny Washington",29,"FL",10,7,128,1,0,0,4,128
"Lisa-Ann Marchesi",46,"NJ",11,7,129,1,0,1,2,129
"Brittany Craig",22,"NY",12,7,130,0,0,1,1,130
"Barbara Savage",51,"CO",13,7,131,0,0,0,0,131
"Bill Travers",62,"CA",14,7,132,0,0,1,0,132
"Cassie Peterson",25,"IA",14,7,133,0,0,0,0,133
"Dino Angelo Luciano",28,"NY",1,8,134,7,0,1,20,134
"Eboni Henry",33,"IL",2,8,135,7,1,2,18,135
"Jason Wang",34,"MA",2,8,136,9,1,1,17,136
"Caitlin ""Cate"" Meade",25,"IL",3,8,137,11,1,0,15,137
"Jeff Philbin",29,"FL",3,8,138,0,3,6,14,138
"Yachecia Holston",43,"MI",3,8,139,4,2,5,13,139
"Gabriel Lewis",19,"OK",4,8,140,3,1,2,14,140
"Daniel Pontes-Macedo",31,"MA",5,8,141,3,0,0,15,141
"Caitlin Jones",24,"PA",5,8,142,1,1,6,9,142
"Adam Wong",21,"MA",6,8,143,3,0,4,9,143
"Jenny Cavellier",25,"OH",6,8,144,2,0,2,9,144
"Mike ""Newton"" Newton",53,"TX",7,8,145,3,0,3,6,145
"Reba Billingsley",48,"TX",8,8,146,1,0,0,9,146
"Brien O'Brien",32,"CA",9,8,147,3,1,0,6,147
"Necco Ceresani",26,"SC",10,8,148,2,1,0,5,148
"Jennifer Williams",25,"LA",11,8,149,0,0,2,4,149
"Sam Reiff-Pasarew",37,"MD",12,8,150,1,0,3,1,150
"Heather Dombrosky",37,"FL",13,8,151,1,0,1,1,151
"Paige Jimenez",18,"HA",14,8,152,0,0,0,0,152
"Mark Togni",43,"OR",15,8,153,0,0,0,0,153
"Gerron Hurt",25,"KY",1,9,154,8,1,7,13,154
"Ashley Mincey",28,"FL",2,9,155,7,3,3,15,155
"Cesar Cano",33,"TX",2,9,156,11,1,3,12,156
"Samantha Daily",20,"IA",3,9,157,5,3,7,12,157
"Bowen Li",24,"IN",3,9,158,6,2,4,14,158
"Farhan Momin",25,"IL",4,9,159,4,1,3,13,159
"Julia Danno",43,"IL",5,9,160,7,0,1,11,160
"Shanika Patterson",34,"FL",5,9,161,2,0,3,12,161
"Taylor Waltmon",30,"TX",6,9,162,2,0,2,12,162
"Emily Hallock",28,"WI",6,9,163,3,0,0,11,163
"Chelsea Sargent",28,"TX",7,9,164,3,1,1,9,164
"Seung Joo Yun",21,"CA",7,9,165,3,0,1,9,165
"Ralph Xavier Degala",29,"TX",8,9,166,3,1,1,7,166
"Mark Ingraham",19,"MN",9,9,167,4,0,1,4,167
"Ryan Cortez",33,"TX",10,9,168,3,0,2,4,168
"Lindsay Haigh",41,"MA",11,9,169,0,0,0,6,169
"Matthew Houck",28,"IA",11,9,170,2,0,1,3,170
"Juni Cuevas",28,"NC",12,9,171,0,0,0,4,171
"Alecia Winters",30,"MI",13,9,172,0,0,0,3,172
"Darrick Krause",34,"AZ",14,9,173,0,0,1,1,173
"Olusola Ogbomo",29,"SC",15,9,174,0,0,1,0,174
"Stephanie Willis",32,"NJ",15,9,175,0,0,1,0,175
"Sal Maida",31,"CA",16,9,176,0,0,0,0,176
"Sid Hoeltzell",63,"FL",16,9,177,0,0,0,0,177
"Dorian Hunter",45,"GA",1,10,178,6,3,3,11,178
"Sarah Faherty",31,"CA",2,10,179,5,1,4,13,179
"Nick DiGiovanni",22,"RI",3,10,180,6,2,4,11,180
"Noah Sims",32,"GA",4,10,181,3,1,6,12,181
"Shari Mukherjee",34,"MI",5,10,182,3,2,5,10,182
"Subha Ramiah",54,"NY",5,10,183,4,0,4,12,183
"Micah Yaroch",19,"MI",6,10,184,2,2,5,10,184
"Brielle Baker",24,"TX",7,10,185,3,3,5,6,185
"Jamie Hough",42,"SC",8,10,186,3,1,2,11,186
"Fred Chang",24,"CA",9,10,187,5,0,3,7,187
"Wuta Onda",30,"NY",10,10,188,2,1,5,4,188
"Renee Rice",33,"OK",11,10,189,3,1,4,4,189
"Samuel Haaz",35,"PA",12,10,190,3,0,4,4,190
"Keturah King",30,"London",13,10,191,3,0,1,5,191
"Elizabeth Linn",53,"MI",14,10,192,1,1,2,2,192
"Michael Silverstein",31,"PA",14,10,193,2,1,2,2,193
"Evan Tesiny",36,"NY",15,10,194,1,1,0,2,194
"Kimberly White",31,"NY",16,10,195,0,0,2,0,195
"Deanna Colon",45,"CA",17,10,196,0,0,0,0,196
"Kenneth Palazzolo",46,"MA",17,10,197,0,0,0,0,197
"Kelsey Murphy",32,"IN",1,11,198,0,0,0,0,198
"Autumn Moretti",27,"MA",2,11,199,6,3,1,5,199
"Suu Khin",30,"TX",2,11,200,3,1,0,8,200
"Alejandro Valdivia",39,"GA",3,11,201,4,0,1,7,201
"Michael Newman",47,"NJ",4,11,202,1,0,3,7,202
"Abe Konick",22,"NY",4,11,203,0,1,3,5,203
"Anne Hicks",39,"MI",5,11,204,2,1,1,3,204
"Joseph Manglicmot",32,"TX",5,11,205,0,2,3,2,205
"Lexy Rogers",23,"IL",6,11,206,1,1,1,2,206
"Tay Westberry",29,"NE",7,11,207,0,3,1,1,207
"Miles Gateff",31,"TX",8,11,208,1,0,0,1,208
"Matt Gagnon",36,"CT",9,11,209,0,0,0,0,209
"Mary Jayne Buckingham",59,"TX",12,11,210,0,0,0,0,210
"Annai Gonzalez",25,"TX",10,11,211,0,0,0,0,211
"Elyce Wooten",39,"IL",11,11,212,0,0,0,0,212
"Grant Gillon",32,"IA",1,13,213,7,1,2,3,213
"Jennifer Maune",42,"AK",2,13,214,2,1,4,5,214
"Kennedy Underwood",26,"CO",2,13,215,1,4,2,6,215
"Reagan Sidney",44,"LA",3,13,216,2,2,2,5,216
"Wayne Lewis",51,"OH",4,13,217,6,2,1,2,217
"Savannah Miles",26,"AL",5,13,218,2,1,2,4,218
"Brynn Weaver",33,"RI",6,13,219,2,3,1,4,219
"Kolby Chandler",30,"TX",6,13,220,2,3,1,3,220
"Madame Donut",48,"HI",7,13,221,2,1,1,3,221
"Lizzie Hartman",29,"AL",8,13,222,1,2,2,3,222
"James Barfield",31,"OR",9,13,223,1,1,1,4,223
"Charles Calvino",34,"OH",10,13,224,2,0,2,2,224
"Nina Interlandi Bell",44,"ME",11,13,225,0,2,1,3,225
"Kendal Adair",27,"MI",12,13,226,1,1,1,0,226
"Kyle Hopkins",41,"MO",13,13,227,2,0,0,1,227
"Purvi Dogra",48,"NJ",14,13,228,0,0,0,3,228
"Sarah ",32,"MO",14,13,229,1,0,0,1,229
"Ryan Wal",33,"NJ",15,13,230,0,0,0,2,230
"Richie Jones-Muham",28,"MD",16,13,231,0,0,1,0,231
"Amanda Clark K",44,"CA",17,13,232,0,0,0,0,232
